artist,title,key,song_url,artist_url
Jonas Brothers,Sucker,97425071,8b304ee721be5f4235a67722670be137c785de1e,a6607686d8bb0913324c84360ee921e94c5aadf3
Max Manie,"Sunday - KlangTherapeuten ""Looking For Summer"" Remix",26673595,0c803717df18e9965a4fd422f57a5f616b21fa6d,9c33a1204a96f61b518bc04cd2ea2cd13ae8a4d8
5 Seconds of Summer,Teeth,13999503,6a447204bb7c43f656c29552bfff9596eab37a02,81f45e1c43d961f38e0885e79db547b86d25d101
Ariana Grande,"thank u, next",31644836,7486ad655cea42de4b83edbef4e4e0a29cc26bd0,b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
AllttA,That Good Ship,37137095,119162138a3df486ca1abd4cfbd0ccf3439a46c9,7886e77283859d10a57924b3085a8766d0d461ff
Taylor Swift,The Archer,55754701,43ac26babd1185da08f4e7e1238f96cae7ac2b08,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
Tame Impala,The Less I Know The Better,31057500,529af81043b7b86ae5f9709f590d52a6f7dd7fb5,d258f00c11f658bc5d3fbe0b5491200996836e86
Taylor Swift,The Man,62260603,f2a0f4db4c1fc8e82ca34295eacf18c95f7de3e5,93fec27f9aac86526b9010e882037afbda4e3d5f
Astrid S,Think Before I Talk,43126954,79d0c911d6ed06bd5e35997db73fd1237767e4ed,d06bea6ab5205a9966d7a67a14c317834a3e168d
Sia,Thunderclouds,63934979,7d9835777327c7f8a9ea694e12d8b5cf741618db,652b6bb0dfaf8aa444f4414ee018699260e74306
Gryffin,Tie Me Down (with Elley Duhé),44049575,d08d3dbd49b563781b55e58f7aea18c0cec28494,aefe640c168f3a851a35508e27e07d4256434b0f
Timecop1983,Tonight,73870512,5b1da6a17daa29ef41af5b1f75eaa60a7f7438e0,a38579606746ef34c38c349f4cdb250784f3aee8
SHAED,Trampoline,58396149,16f1d600e8d964108c2ad6d08aed2ab0989f5c3e,d4a8d208a0334c183ffa012724df7d85a1878c20
Alessia Cara,Trust My Lonely,26636869,607d1950dc36ee5ef31cd0f24ed2d597766c0f33,56dcc0e8f919ea86b139b4ccd084439e10a8704e
AllttA,Under the Water (fg. IV),40335568,aa5c69d3d9df7006d3e8fdf981c2d4413a4d2f3e,7886e77283859d10a57924b3085a8766d0d461ff
Unknown Artist,Unknown Track,60421254,1150d440cf6be50f98df690eb534974db0c9c40a,6017a2a92b125e78aff9a8ca29190b0476df58ce
20syl,Voices,84668472,12d080f3203871609b35353f59e19d5d9668980f,c23701238e46876969ea3b694e9b42b8db133b91
U.S.A. For Africa,We Are The World,80496120,5609f657633684fcfb507ec7fc8f30f76df8d67c,b040846ceba13c3e9c125d68389491094e7f2982
AJR,Weak,43175418,e9123af930849a20dad875b2a42e5ca65f1944b6,c3c913b76f3c7f6de6c464ac1ae357a412adf79f
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),91857107,f6f07bf44c8293d4ef5aa1bd76d0ef5ab8713775,646fba36b604f30e0c59f9d1043ee0b105ccd5e0
Billie Eilish,when the party's over,93080297,3ecac85b0a9e25bfb3ff85ab96c9d09ab164cb7b,bcf71477d890a736eb769dc5f8af4e7d28278824
Billie Eilish,wish you were gay,39875630,b356446fa6765a17f64a5bfad8a23bf1ce85a5ab,bcf71477d890a736eb769dc5f8af4e7d28278824
Halsey,Without Me,32947139,06e207bfb0751551eb5899252a565c710e58027e,1ccc88afcd13131dc35a1bd028922dbc748a55fb
Post Malone,Wow.,76932523,e0eed23ca5adb971783b31cd350ef5e076724ea3,93fec27f9aac86526b9010e882037afbda4e3d5f
Billie Eilish,xanny,51584919,5fd6ab983596b744017ac43471810ca810eba0e5,bcf71477d890a736eb769dc5f8af4e7d28278824
Taylor Swift,You Need To Calm Down,86267388,fc529bd7c299b310b459e9e08afcf5fd6bb9a71f,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
Billie Eilish,you should see me in a crown,95196195,9670fda6c30abbced8a997fa42528c16a85952e4,bcf71477d890a736eb769dc5f8af4e7d28278824
